err_whole, err1, err2, err3, err4, err5, err6, err7, err8, err9
1.906406352735095372e-02,2.190310250432166844e-02,2.892192516136769809e-02,1.012953670259608696e-02,1.415024165901634240e-02,2.378509261992827958e-02,1.067852544232335971e-02,1.568591227782271252e-02,1.713136348466390985e-02,1.126391462208306722e-02
1.897358679149961647e-02,2.826663618115504359e-02,2.621521970638515317e-02,2.289884082923109715e-02,1.577784140428261164e-02,2.136299554258888275e-02,1.120743528246838025e-02,1.557382849653048996e-02,1.718855690699743963e-02,1.388494603240244402e-02
1.913640275003591559e-02,2.684832414153871458e-02,2.196052401642414539e-02,1.614918284650405933e-02,2.829082249494010645e-02,1.874875953451109536e-02,1.407721345407573349e-02,1.614167264908580521e-02,1.825040015028095430e-02,1.389479610869904201e-02
1.747350946521428888e-02,2.114416508323602867e-02,2.173423896083997997e-02,1.167891427384806780e-02,1.661700245085795391e-02,1.477873783945158823e-02,1.785202140849045938e-02,1.696383071331623860e-02,1.582574220564216330e-02,1.515046855734755379e-02
1.736356867338465990e-02,1.768031017071837810e-02,1.747921383542671431e-02,2.120882147295955270e-02,1.916982529881800304e-02,1.296023266938134237e-02,1.736101037950829595e-02,1.637471708740683221e-02,1.173064814820232865e-02,2.001519802588337324e-02
1.448930532362468528e-02,1.474734549501651761e-02,1.635177162845643378e-02,1.516547837879332443e-02,1.474237021643627805e-02,1.136292788101982663e-02,1.576280224346687450e-02,1.494243174723638816e-02,1.150984320050937870e-02,1.071407744273604121e-02
1.477698694951888429e-02,1.479791966018626295e-02,1.231112444220281051e-02,1.409546785046997437e-02,1.840867872635043936e-02,1.173420833329849415e-02,1.578597028349263201e-02,1.404515865071110856e-02,1.120307861626053218e-02,1.807658049768371897e-02
1.391430945108552628e-02,1.152799790454522681e-02,1.354237985417863603e-02,1.912623349697460326e-02,1.737102684035336797e-02,1.092676700047083560e-02,1.149351373722733854e-02,1.136655720352178559e-02,1.018794425721799256e-02,1.774559488452419689e-02
1.235448549805421778e-02,1.017666614271245384e-02,9.566011347693997857e-03,9.809840915963402574e-03,1.927630845407566837e-02,9.113773937690545363e-03,1.189476714687100894e-02,1.090310730853922584e-02,1.461458447227814358e-02,1.439823031361246210e-02
1.288048999126186096e-02,8.944559539331365522e-03,1.063085766431377810e-02,2.224280708583455807e-02,1.924634220160894443e-02,1.021593309944401548e-02,9.448251457264999695e-03,9.685433577695716154e-03,8.121454436336564275e-03,1.355080755390401272e-02
9.527095157460176156e-03,8.612854429499060965e-03,9.360218232367434332e-03,9.608863371704728235e-03,1.133904559719817184e-02,8.146278153646444378e-03,9.082577992220184152e-03,8.754651869473124154e-03,1.396307454151657357e-02,9.325003883776343885e-03
9.409890120599504956e-03,7.346159677910089718e-03,8.698791852479445530e-03,8.477138426994688253e-03,1.485792011954626887e-02,7.109671395354684453e-03,8.661464316913898565e-03,8.039524960874143422e-03,7.058747715642065337e-03,9.826019540732524801e-03
9.438250689059075882e-03,5.951130162200177556e-03,7.941535422041583539e-03,1.615479327597076076e-02,1.099127586416010632e-02,6.433494213310169546e-03,8.714417351362696226e-03,7.834490425378568684e-03,7.423789990414363452e-03,1.130065935807742818e-02
8.890786907541596909e-03,8.156835376488142178e-03,7.657362482456588591e-03,1.342023293475282965e-02,1.338055132896081439e-02,5.767050292259918651e-03,7.447979511901540658e-03,7.180188217684880213e-03,8.964991919790473232e-03,9.220601848503868006e-03
7.598962948494744456e-03,7.372269522310652065e-03,7.677587828223253474e-03,1.173812577197895328e-02,1.072315569863493620e-02,5.796684306082706788e-03,6.388327012446202123e-03,6.586596239402442432e-03,7.676836934875477629e-03,4.770998573791350623e-03
8.839625269750600589e-03,6.020982582743400653e-03,7.272089353087195576e-03,2.094179046231668326e-02,1.156073031001350095e-02,5.004625801018514064e-03,5.652988924047341532e-03,6.768707421601834716e-03,7.294140802573138328e-03,6.974417631253417710e-03
7.910164151880188024e-03,5.760399150838077520e-03,7.799365101308609015e-03,1.095082373695807458e-02,1.180745466097282530e-02,5.992286774503786939e-03,5.718034254294117325e-03,5.928273931617241213e-03,1.029777968886038016e-02,7.642363104266977972e-03
6.977456273083134167e-03,5.622709946852541725e-03,7.169236251883399393e-03,7.384647486819898889e-03,1.142919431529188130e-02,5.435028145550144588e-03,5.564831856468241932e-03,5.850455929978748588e-03,7.565165192066565340e-03,5.027691654435379950e-03
8.711813506069041382e-03,5.946382046559132474e-03,6.294174793912178656e-03,1.807821736498480686e-02,1.150764841699016341e-02,4.939167464110403270e-03,5.879527761812026500e-03,5.466140261242645113e-03,7.042887788105202038e-03,1.174198245469050550e-02
7.715753382924469585e-03,4.393924367678431545e-03,7.274262722552471069e-03,1.217863017069278388e-02,1.338811848745729942e-02,4.920405504666434601e-03,4.586272621644692932e-03,5.876937129402939365e-03,8.008382813726826893e-03,6.451804789083087285e-03
